id,level,segment_1,segment_2,segment_3,segment_4,segment_5,segment_6,segment_7,segment_8,accepted_orders,speech_1,speech_2,speech_3,speech_4,speech_5,speech_6,speech_7,speech_8,speech_instruction_1,speech_instruction_2,speech_instruction_3,speech_instruction_4,speech_instruction_5,speech_instruction_6,speech_instruction_7,speech_instruction_8,notes,active,full_speech,full_speech_instruction,accepted_order_sentences
sv_a1_001,A1,"hej,",jag,heter,Erik.,,,,,1-2-3-4,,,,,,,,,,,,,,,,,grammatik: Hälsning och presentation; tema: presentation; huvudverb: heta; CEFR: Mycket grundläggande presentationsfras med vanliga ord och enkel struktur.,TRUE
sv_a1_002,A1,vad,heter,du?,,,,,,1-2-3,,,,,,,,,,,,,,,,,"grammatik: Frågeord, verb och subjekt; tema: presentation; huvudverb: heta; CEFR: Central A1-fråga för att inleda kontakt.",TRUE
sv_a1_003,A1,jag,kommer,från,Syrien.,,,,,1-2-3-4|3-4-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och ursprungsfras; tema: presentation; huvudverb: komma; CEFR: Vanlig presentationsmening med konkret information om ursprung.",TRUE
sv_a1_004,A1,var,bor,du?,,,,,,1-2-3,,,,,,,,,,,,,,,,,"grammatik: Frågeord, verb och subjekt; tema: presentation; huvudverb: bo; CEFR: Kort och vanlig fråga med enkel ordföljd.",TRUE
sv_a1_005,A1,jag,bor,i Malmö.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och platsfras; tema: presentation; huvudverb: bo; CEFR: Enkel uppgift om bostadsort med mycket frekvent verb.",TRUE
sv_a1_006,A1,hur,mår,du?,,,,,,1-2-3,,,,,,,,,,,,,,,,,grammatik: Frågeord och verbfras; tema: hälsning; huvudverb: må; CEFR: Mycket vanlig hälsningsfråga på nybörjarnivå.,TRUE
sv_a1_007,A1,jag,mår,bra.,,,,,,1-2-3,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och adjektiv; tema: hälsning; huvudverb: må; CEFR: Kort standardsvar med vanlig social funktion.",TRUE
sv_a1_008,A1,tack,så,mycket.,,,,,,1-2-3,,,,,,,,,,,,,,,,,grammatik: Fast artighetsfras; tema: artighet; huvudverb: saknas; CEFR: Mycket vanlig kommunikativ fras utan syntaktisk komplexitet.,TRUE
sv_a1_009,A1,"varsågod,",här,är,kaffet.,,,,,1-2-3-4,,,,,,,,,,,,,,,,,grammatik: Artighetsfras och enkel huvudsats; tema: artighet; huvudverb: vara; CEFR: Naturlig vardagsfras med konkret substantiv och enkel ordföljd.,TRUE
sv_a1_010,A1,"förlåt,",jag,är,sen.,,,,,1-2-3-4,,,,,,,,,,,,,,,,,grammatik: Artighetsfras och predikativ; tema: artighet; huvudverb: vara; CEFR: Vanlig social fras med enkel självbeskrivning.,TRUE
sv_a1_011,A1,jag,förstår,inte.,,,,,,1-2-3,,,,,,,,,,,,,,,,,grammatik: Rak huvudsats med negation; tema: kommunikation; huvudverb: förstå; CEFR: Nödvändig A1-fras för missförstånd och klassrumssituationer.,TRUE
sv_a1_012,A1,kan,du,hjälpa,mig?,,,,,1-2-3-4,,,,,,,,,,,,,,,,,grammatik: Ja-nej-fråga med modalverb; tema: hjälp; huvudverb: hjälpa; CEFR: Mycket användbar hjälpfras med vanligt pronomenobjekt.,TRUE
sv_a1_013,A1,jag,vill,ha,lite,vatten.,,,,1-2-3-4-5,,,,,,,,,,,,,,,,,"grammatik: Subjekt + modal vilja + verbfras med kvantitetsord; tema: mat, dryck och behov; huvudverb: vilja ha; CEFR: Mycket vanlig behovsfras med enkel struktur och ett kort kvantitetsord.",TRUE
sv_a1_014,A1,vill,du,ha,lite,te?,,,,1-2-3-4-5,,,haa,,,,,,,,,,,,,,"grammatik: Ja/nej-fråga med vilja ha och kvantitetsord; tema: mat, dryck och social kontakt; huvudverb: vilja ha; CEFR: Naturlig enkel erbjudandefras med rak nybörjargrammatik.",TRUE
sv_a1_015,A1,jag,är,hungrig.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, vara och adjektiv; tema: hälsa och känsla; huvudverb: vara; CEFR: Basal självbeskrivning med vanligt adjektiv.",TRUE
sv_a1_016,A1,det,är,mycket,kallt,ute.,,,,1-2-3-4-5|5-2-1-3-4|3-4-2-1-5,,,,,,,,,,,,,,,,,grammatik: Formellt subjekt + vara + gradadjektiv + platsadverbial; tema: väder; huvudverb: vara; CEFR: Vanlig väderfras med mycket enkla ord och tydlig huvudsats.,TRUE
sv_a1_017,A1,det,regnar,nu.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,grammatik: Formellt subjekt och tidsadverb; tema: väder; huvudverb: regna; CEFR: Kort konkret vädermening i presens.,TRUE
sv_a1_018,A1,solen,skiner,idag.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och tid; tema: väder; huvudverb: skina; CEFR: Enkel huvudsats med konkret vardagsord.",TRUE
sv_a1_019,A1,vi,äter,frukost.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och objekt; tema: mat och rutiner; huvudverb: äta; CEFR: Vanlig vardagshandling med rak ordföljd.",TRUE
sv_a1_020,A1,hon,dricker,mjölk.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och objekt; tema: mat och dryck; huvudverb: dricka; CEFR: Konkret handling med mycket vanligt verb och substantiv.",TRUE
sv_a1_021,A1,han,lagar,mat.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och objekt; tema: hem och mat; huvudverb: laga; CEFR: Kort vardagsmening med naturligt verbobjekt.",TRUE
sv_a1_022,A1,du,läser,boken.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och bestämt objekt; tema: fritid; huvudverb: läsa; CEFR: Enkel presenssats med konkret objekt.",TRUE
sv_a1_023,A1,kan,du,skriva,ditt,namn?,,,,1-2-3-4-5,,,,,,,,,,,,,,,,,grammatik: Ja/nej-fråga med modalt hjälpverb och possessivt pronomen; tema: kommunikation och ärenden; huvudverb: skriva; CEFR: Mycket användbar vardagsfråga med vanligt verb och enkelt objekt.,TRUE
sv_a1_024,A1,min,telefon,ringer.,,,,,,1-2-3,,,,,,,,,,,,,,,,,"grammatik: Possessivt pronomen, subjekt och verb; tema: digitalt liv; huvudverb: ringa; CEFR: Kort vardaglig observation med konkret substantiv.",TRUE
sv_a1_025,A1,barnet,sover,nu.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,grammatik: Bestämt subjekt och tidsadverb; tema: hem och familj; huvudverb: sova; CEFR: Enkel presenssats med vanligt vardagsverb.,TRUE
sv_a1_026,A1,katten,sitter,i,fönstret.,,,,,1-2-3-4|3-4-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och platsfras; tema: hem och djur; huvudverb: sitta; CEFR: Konkret platsbeskrivning med mycket enkel syntax.",TRUE
sv_a1_027,A1,hunden,väntar,vid,dörren.,,,,,1-2-3-4|3-4-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och platsfras; tema: hem och djur; huvudverb: vänta; CEFR: Naturlig vardagsmening med konkret plats.",TRUE
sv_a1_028,A1,vi,öppnar,fönstret.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och bestämt objekt; tema: hem; huvudverb: öppna; CEFR: Konkret handling i enkel huvudsats.",TRUE
sv_a1_029,A1,jag,stänger,dörren.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och bestämt objekt; tema: hem; huvudverb: stänga; CEFR: Kort och konkret A1-mening med vanligt verb.",TRUE
sv_a1_030,A1,nyckeln,ligger,på,bordet.,,,,,1-2-3-4|3-4-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och platsfras; tema: hem; huvudverb: ligga; CEFR: Vanlig sak- och platsbeskrivning med enkel struktur.",TRUE
sv_a1_031,A1,bussen,kommer,snart.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och tidsadverb; tema: kollektivtrafik; huvudverb: komma; CEFR: Praktisk vardagsmening med konkret transportord.",TRUE
sv_a1_032,A1,jag,går,till,jobbet.,,,,,1-2-3-4|3-4-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, rörelseverb och mål; tema: arbete; huvudverb: gå; CEFR: Enkel rörelsemening med mycket vanlig platsfras.",TRUE
sv_a1_033,A1,vi,ses,på måndag.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Pronomen, verb och tid; tema: social kontakt; huvudverb: ses; CEFR: Vanlig social fras med enkel tidsangivelse.",TRUE
sv_a1_034,A1,klockan,är,åtta.,,,,,,1-2-3,,,,,,,,,,,,,,,,,"grammatik: Subjekt, vara och tal; tema: tid; huvudverb: vara; CEFR: Grundläggande tidsfras för nybörjare.",TRUE
sv_a1_035,A1,har,ni,öppet,nu?,,,,,1-2-3-4,,,,,,,,,,,,,,,,,grammatik: Ja-nej-fråga med ha; tema: ärenden; huvudverb: ha; CEFR: Mycket användbar servicefråga med enkel struktur.,TRUE
sv_a1_036,A1,det,kostar,femtio kronor.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Formellt subjekt, verb och pris; tema: ekonomi och butik; huvudverb: kosta; CEFR: Vanlig köpfras med konkret belopp.",TRUE
sv_a1_037,A1,jag,betalar,med,kort.,,,,,1-2-3-4|3-4-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och medel; tema: ekonomi och butik; huvudverb: betala; CEFR: Praktisk vardagsmening i butikssituation.",TRUE
sv_a1_038,A1,kvittot,ligger,i påsen.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och platsfras; tema: butik; huvudverb: ligga; CEFR: Konkret och kort sakbeskrivning.",TRUE
sv_a1_039,A1,jag,söker,Maria.,,,,,,1-2-3,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och namn; tema: arbete och kontakt; huvudverb: söka; CEFR: Enkel kontaktfras som fungerar i reception eller telefon.",TRUE
sv_a1_040,A1,hon,väntar,här.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och platsadverb; tema: social kontakt; huvudverb: vänta; CEFR: Kort presenssats med vanligt verb och adverb.",TRUE
sv_a1_041,A1,vi,pratar,svenska.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och objekt; tema: kommunikation; huvudverb: prata; CEFR: Mycket användbar språkfras på nybörjarnivå.",TRUE
sv_a1_042,A1,kan,du,säga,det,igen?,,,,1-2-3-4-5,,,,,,,,,,,,,,,,,"grammatik: Ja/nej-fråga med modalt hjälpverb, objekt och tidsadverbial; tema: kommunikation; huvudverb: säga; CEFR: Central kommunikativ fras för nybörjare som inte uppfattar något första gången.",TRUE
sv_a1_043,A1,kan,du,upprepa?,,,,,,1-2-3,,,,,,,,,,,,,,,,,grammatik: Ja-nej-fråga med modalverb; tema: kommunikation; huvudverb: upprepa; CEFR: Kort reparationsfras som hjälper eleven i samtal.,TRUE
sv_a1_044,A1,jag,behöver,en,röd,penna.,,,,1-2-3-4-5|3-4-5-2-1,,,,,,,,,,,,,,,,,grammatik: Subjekt + verb + obestämd nominalfras med adjektiv; tema: skola och ärenden; huvudverb: behöva; CEFR: Konkret behovsfras med enkel nominalfras och vanligt färgadjektiv.,TRUE
sv_a1_045,A1,här,är,min adress.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Platsadverb, vara och possessiv; tema: ärenden; huvudverb: vara; CEFR: Vanlig informationsfras med enkel ordföljd.",TRUE
sv_a1_046,A1,min,syster,bor,här.,,,,,1-2-3-4|4-3-1-2,,,,,,,,,,,,,,,,,"grammatik: Possessivt pronomen, subjekt och platsadverb; tema: familj; huvudverb: bo; CEFR: Enkel familjeuppgift med konkret vardagsord.",TRUE
sv_a1_047,A1,din jacka,är,fin.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,grammatik: Possessivt pronomen och adjektiv; tema: kläder; huvudverb: vara; CEFR: Kort beskrivning med vanlig nominalfras och adjektiv.,TRUE
sv_a1_048,A1,jag,gillar,musik.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och objekt; tema: fritid och kultur; huvudverb: gilla; CEFR: Enkel uttrycksfras om intresse med vanligt verb.",TRUE
sv_a1_049,A1,vi,dansar,ikväll.,,,,,,1-2-3|3-2-1,,,,,,,,,,,,,,,,,"grammatik: Subjekt, verb och tid; tema: fritid; huvudverb: dansa; CEFR: Kort vardaglig plan utan komplexitet.",TRUE
sv_a1_050,A1,ha,en,riktigt,bra,dag!,,,,1-2-3-4-5,,,,,,,,,,,,,,,,,grammatik: Fast artighetsfras med imperativ och adjektivfras; tema: hälsning och artighet; huvudverb: ha; CEFR: Naturlig social avslutningsfras med mycket vanlig kommunikativ funktion.,TRUE
sv_a2_001,A2,jag,brukar träna,efter jobbet.,,,,,,1-2-3,,,,,,,,,,,,,,,,,grammatik: Frekvensuttryck och tidsfras; tema: hälsa och rutiner; huvudverb: träna; CEFR: Vardaglig rutin med något mer utvecklad tidsangivelse.,TRUE
sv_a2_002,A2,hon,ska ringa,vårdcentralen,imorgon.,,,,,1-2-3-4,,,,,,,,,,,,,,,,,grammatik: Futurum med ska och objekt; tema: hälsa; huvudverb: ringa; CEFR: Praktisk planeringsmening med vanligt samhällsord.,TRUE
sv_a2_003,A2,vi,har bokat,tvättstugan,på lördag.,,,,,1-2-3-4,,,,,,,,,,,,,,,,,grammatik: Perfekt och tidsfras; tema: hem och boende; huvudverb: boka; CEFR: Enkel erfarenhet eller plan med perfekt och konkret vardagssituation.,TRUE
sv_a2_004,A2,du,kan lämna,paketet,i,butiken.,,,,1-2-3-4-5,,,,,,,,,,,,,,,,,"grammatik: Modalverb, objekt och platsfras; tema: ärenden; huvudverb: lämna; CEFR: Praktisk ärendefras med modalverb och tydlig plats.",TRUE
sv_a2_005,A2,de,väntar,på,tåget,vid,spår två.,,,1-2-3-4-5-6|5-6-2-1-3-4,dom,,,,viid,,,,Pronounce the Swedish pronoun de as dom in this isolated segment.,,,,"Pronounce the Swedish preposition vid as /viːd/, with a long i and an audible final d.",,,,"grammatik: Verb, preposition och platsdetalj; tema: kollektivtrafik; huvudverb: vänta; CEFR: Vardaglig transportsituation med flera enkla detaljer.",TRUE
sv_a2_006,A2,jag,behöver byta,lösenord,ikväll.,,,,,1-2-3-4,,,,,,,,,,,,,,,,,grammatik: Behöver plus infinitiv och tid; tema: digitalt liv; huvudverb: byta; CEFR: Aktuell vardagssituation med enkel verbkedja.,TRUE
sv_a2_007,A2,man,får,inte,röka,här.,,,,1-2-3-4-5|5-2-1-3-4,,,,,,,,,,,,,,,,,"grammatik: Generiskt man, modalverb och negation; tema: regler; huvudverb: röka; CEFR: Kort regel med vanlig modal konstruktion och negation.",TRUE
